iter	Passed	Remaining
0	173	25818
1	277	20542
2	386	18945
3	495	18098
4	602	17462
5	711	17086
6	830	16965
7	947	16820
8	1059	16598
9	1170	16382
10	1282	16212
11	1394	16037
12	1512	15940
13	1641	15949
14	1760	15848
15	1870	15667
16	2003	15677
17	2129	15614
18	2247	15494
19	2364	15370
20	2478	15226
21	2601	15134
22	2728	15066
23	2848	14956
24	2958	14792
25	3077	14677
26	3176	14469
27	3278	14283
28	3369	14059
29	3467	13868
30	3561	13672
31	3654	13477
32	3751	13300
33	3847	13127
34	3947	12969
35	4057	12849
36	4187	12787
37	4284	12627
38	4384	12480
39	4482	12327
40	4578	12170
41	4669	12006
42	4764	11855
43	4859	11707
44	4949	11549
45	5044	11405
46	5136	11256
47	5239	11132
48	5336	10999
49	5431	10863
50	5531	10737
51	5625	10602
52	5721	10471
53	5826	10357
54	5920	10226
55	6021	10107
56	6117	9980
57	6217	9861
58	6311	9734
59	6424	9636
60	6520	9513
61	6616	9391
62	6720	9280
63	6832	9181
64	6932	9065
65	7032	8950
66	7131	8834
67	7225	8713
68	7313	8585
69	7407	8465
70	7501	8347
71	7616	8251
72	7718	8141
73	7819	8031
74	7917	7917
75	8023	7812
76	8122	7701
77	8218	7586
78	8313	7471
79	8419	7366
80	8516	7255
81	8620	7148
82	8723	7041
83	8821	6931
84	8922	6823
85	9022	6714
86	9125	6607
87	9220	6496
88	9334	6397
89	9442	6294
90	9547	6190
91	9654	6086
92	9758	5980
93	9857	5872
94	9957	5764
95	10056	5657
96	10158	5550
97	10259	5444
98	10358	5336
99	10461	5230
100	10562	5124
101	10673	5023
102	10776	4917
103	10882	4813
104	10989	4709
105	11085	4601
106	11191	4497
107	11292	4391
108	11388	4283
109	11491	4178
110	11586	4070
111	11685	3964
112	11786	3859
113	11886	3753
114	11979	3645
115	12099	3546
116	12204	3442
117	12302	3336
118	12406	3231
119	12502	3125
120	12606	3021
121	12710	2917
122	12805	2811
123	12916	2708
124	13012	2602
125	13126	2500
126	13218	2393
127	13313	2288
128	13426	2185
129	13529	2081
130	13637	1977
131	13747	1874
132	13856	1771
133	13962	1667
134	14056	1561
135	14172	1458
136	14266	1353
137	14361	1248
138	14454	1143
139	14547	1039
140	14642	934
141	14736	830
142	14831	726
143	14925	621
144	15022	518
145	15116	414
146	15211	310
147	15308	206
148	15415	103
149	15508	0
